Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
1,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,4,1,8,4,2,BP_mlDatabase,6,0,3,8,avg,1,avg,0.001,,2.302585092994046
19,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,3,2,8,7,9,BP_mlDatabase,10,1,3,3,avg,1,max,0.001,,2.302585092994046
19,COMPLETED,1,relu,0.001,16,0.99,0.999,10,3,2,8,7,9,BP_mlDatabase,10,1,3,3,avg,1,max,0.001,,2.302585092994046
1,COMPLETED,1,relu,0.001,16,0.99,0.999,7,4,1,8,4,2,BP_mlDatabase,6,0,3,8,avg,1,avg,0.001,,2.302585092994046
27,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,4,7,1,1,8,BP_mlDatabase,1,6,3,3,max,5,avg,0.001,,2.302585092994046
27,COMPLETED,1,swish,0.001,16,0.99,0.999,10,4,7,1,1,8,BP_mlDatabase,1,6,3,3,max,5,avg,0.001,,2.302585092994046
5,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,3,2,9,4,1,9,BP_mlDatabase,10,2,3,3,max,1,max,0.001,,2.302585092994046
5,COMPLETED,1,relu,0.001,16,0.99,0.999,3,2,9,4,1,9,BP_mlDatabase,10,2,3,3,max,1,max,0.001,,2.302585092994046
34,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,4,1,1,2,10,1,BP_mlDatabase,7,9,3,5,avg,9,avg,0.001,,2.302585092994046
34,COMPLETED,1,relu,0.001,16,0.99,0.999,4,1,1,2,10,1,BP_mlDatabase,7,9,3,5,avg,9,avg,0.001,,2.302585092994046
13,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,9,9,6,1,10,BP_mlDatabase,9,3,3,8,avg,6,avg,0.001,,2.12843607084087
35,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,4,6,9,8,8,1,BP_mlDatabase,7,1,3,1,max,5,avg,0.001,,2.302585092994046
35,COMPLETED,1,relu,0.001,16,0.99,0.999,4,6,9,8,8,1,BP_mlDatabase,7,1,3,1,max,5,avg,0.001,,2.302585092994046
13,COMPLETED,1,swish,0.001,16,0.99,0.999,8,9,9,6,1,10,BP_mlDatabase,9,3,3,8,avg,6,avg,0.001,,2.12843607084087
15,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,7,1,5,4,4,BP_mlDatabase,1,1,3,5,max,6,avg,0.001,,2.302585092994046
