Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
11,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.09632567304751363
11,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.09632567304751363
12,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,2,8,1,4,avg,5,avg,0.0012,42,0.09191593225917721
12,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,2,8,1,4,avg,5,avg,0.0012,42,0.09191593225917721
9,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,10,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.08243634322667677
9,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,10,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.08243634322667677
7,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,10,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.08278429528675203
7,COMPLETED,1,swish,0.0012,8,0.99,0.99999,10,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.08278429528675203
22,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,2,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.08534672192923615
22,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,2,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.08534672192923615
6,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,8,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.07044602043514338
6,COMPLETED,1,swish,0.0012,8,0.99,0.99999,8,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.07044602043514338
21,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,4,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06964459459589305
21,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,4,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06964459459589305
4,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,4,8,1,4,avg,5,avg,0.0012,42,0.0817786873319529
4,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,4,8,1,4,avg,5,avg,0.0012,42,0.0817786873319529
26,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,8,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.09632567304751363
41,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,4,avg,0.0012,42,0.09632567304751363
27,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,3,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.09632567304751363
41,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,4,avg,0.0012,42,0.09632567304751363
27,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,3,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.09632567304751363
26,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,8,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.09632567304751363
24,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,10,1,4,avg,5,avg,0.0012,42,0.09222660990738327
31,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,5,max,0.0012,42,0.09632567304751363
32,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,10,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.09632567304751363
39,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,5,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.09632567304751363
39,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,5,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.09632567304751363
32,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,10,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.09632567304751363
31,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,5,max,0.0012,42,0.09632567304751363
24,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,10,1,4,avg,5,avg,0.0012,42,0.09222660990738327
43,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,10,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,max,0.0012,42,0.08243634322667677
43,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,10,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,max,0.0012,42,0.08243634322667677
3,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,1,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.11617339785308399
5,INTERMEDIATE,1,relu,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.09270051846766837
5,COMPLETED,1,relu,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.09270051846766837
3,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,1,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.11617339785308399
36,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,10,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.08142933818536893
36,COMPLETED,1,swish,0.0012,8,0.99,0.99999,10,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.08142933818536893
45,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,10,2,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.09043427651839674
45,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,10,2,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.09043427651839674
25,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,2,9,1,4,avg,5,avg,0.0012,42,0.0987227606394723
25,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,2,9,1,4,avg,5,avg,0.0012,42,0.0987227606394723
19,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,3,avg,5,avg,0.0012,42,0.07488999330206338
19,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,3,avg,5,avg,0.0012,42,0.07488999330206338
44,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,10,3,0,9,5,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.08243634322667677
44,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,10,3,0,9,5,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.08243634322667677
46,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,8,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,max,0.0012,42,0.07044602043514338
46,COMPLETED,1,swish,0.0012,8,0.99,0.99999,8,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,max,0.0012,42,0.07044602043514338
37,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,8,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.08659737072817608
37,COMPLETED,1,swish,0.0012,8,0.99,0.99999,8,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.08659737072817608
33,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,4,max,5,avg,0.0012,42,0.0852163333577173
40,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,4,9,1,4,avg,5,avg,0.0012,42,0.1033622200378766
34,INTERMEDIATE,1,relu,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.11632869528418716
40,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,4,9,1,4,avg,5,avg,0.0012,42,0.1033622200378766
34,COMPLETED,1,relu,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,4,avg,5,avg,0.0012,42,0.11632869528418716
33,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,4,max,5,avg,0.0012,42,0.0852163333577173
23,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,10,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06198537660482392
1,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06198537660482392
15,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,6,avg,0.0012,42,0.06198537660482392
23,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,10,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06198537660482392
15,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,6,avg,0.0012,42,0.06198537660482392
1,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06198537660482392
20,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,4,avg,0.0012,42,0.06198537660482392
20,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,4,avg,0.0012,42,0.06198537660482392
10,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,3,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06198537660482392
10,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,3,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06198537660482392
16,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,5,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06198537660482392
2,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,max,0.0012,42,0.06198537660482392
8,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,8,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06198537660482392
16,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,5,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06198537660482392
8,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,8,4,BP_mlDatabase,3,8,1,4,avg,5,avg,0.0012,42,0.06198537660482392
2,COMPLETED,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,8,1,4,avg,5,max,0.0012,42,0.06198537660482392
38,INTERMEDIATE,1,swish,0.0012,8,0.99,0.99999,9,9,3,0,9,4,BP_mlDatabase,3,9,1,3,avg,5,avg,0.0012,42,0.07957203885992642
