Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
18,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,17,0.11868131638176074
18,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,17,0.11868131638176074
24,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,23,0.09257502098216726
24,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,23,0.09257502098216726
23,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,22,0.0982702584104987
29,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,28,0.12158396996952342
29,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,28,0.12158396996952342
23,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,22,0.0982702584104987
21,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,20,0.07018421913028108
11,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,10,0.10080483862517452
3,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,2,0.11116019499634776
27,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,26,0.06939384002063706
19,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,18,0.08704096575488939
27,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,26,0.06939384002063706
21,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,20,0.07018421913028108
19,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,18,0.08704096575488939
11,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,10,0.10080483862517452
3,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,2,0.11116019499634776
25,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,24,0.07755952000266454
28,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,27,0.11029049969636469
25,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,24,0.07755952000266454
1,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,0,0.08913565548587611
17,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,16,0.13281723986241029
20,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,19,0.09342641864108302
28,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,27,0.11029049969636469
17,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,16,0.13281723986241029
1,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,0,0.08913565548587611
5,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,4,0.10124656533384305
14,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,13,0.08478370932427692
20,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,19,0.09342641864108302
14,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,13,0.08478370932427692
5,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,4,0.10124656533384305
6,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,5,0.10845337064543586
6,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,5,0.10845337064543586
10,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,9,0.08901540530952372
2,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,1,0.10341478017560793
30,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,29,0.08925459454640143
10,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,9,0.08901540530952372
2,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,1,0.10341478017560793
8,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,7,0.09048887142800387
16,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,15,0.09160846809441488
30,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,29,0.08925459454640143
8,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,7,0.09048887142800387
31,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,30,0.10077758755322802
31,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,30,0.10077758755322802
16,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,15,0.09160846809441488
22,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,21,0.10377057188948106
22,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,21,0.10377057188948106
26,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,25,0.09337154427243972
26,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,25,0.09337154427243972
33,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,32,0.1441201525757291
36,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,35,0.12500576910998112
12,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,11,0.09877569770987055
36,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,35,0.12500576910998112
33,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,32,0.1441201525757291
12,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,11,0.09877569770987055
7,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,6,0.06546624409921556
7,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,6,0.06546624409921556
15,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,14,0.1015007672924194
15,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,14,0.1015007672924194
9,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,8,0.11916217936465841
41,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,40,0.09475773172476948
9,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,8,0.11916217936465841
41,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,40,0.09475773172476948
13,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,12,0.09911750955830936
44,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,43,0.07513223022242965
4,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,3,0.09976402071732605
44,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,43,0.07513223022242965
13,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,12,0.09911750955830936
4,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,3,0.09976402071732605
52,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,51,0.09093004829625004
38,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,37,0.0507738212678354
52,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,51,0.09093004829625004
38,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,37,0.0507738212678354
46,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,45,0.14159535735909592
45,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,44,0.10377547072350535
42,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,41,0.09151107127619239
46,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,45,0.14159535735909592
45,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,44,0.10377547072350535
42,COMPLETED,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,41,0.09151107127619239
49,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,48,0.06592780314428444
59,INTERMEDIATE,1,swish,0.00144,16,0.99,0.999,7,7,5,0,9,4,BP_mlDatabase,6,4,1,2,avg,4,max,0.00096,58,0.13623265584823563
