Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
7,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,6,7,9,5,7,D_20_mlDatabase,8,3,3,1,max,8,max,0.001,,2.302585092994046
3,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,3,2,0,10,4,D_20_mlDatabase,6,1,3,3,max,3,avg,0.001,,2.302585092994046
7,COMPLETED,1,relu,0.001,16,0.99,0.999,8,6,7,9,5,7,D_20_mlDatabase,8,3,3,1,max,8,max,0.001,,2.302585092994046
12,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,9,4,10,8,3,5,D_20_mlDatabase,9,9,3,1,max,4,max,0.001,,2.302585092994046
17,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,9,6,8,1,2,D_20_mlDatabase,10,7,3,7,avg,4,max,0.001,,2.302585092994046
17,COMPLETED,1,relu,0.001,16,0.99,0.999,10,9,6,8,1,2,D_20_mlDatabase,10,7,3,7,avg,4,max,0.001,,2.302585092994046
12,COMPLETED,1,relu,0.001,16,0.99,0.999,9,4,10,8,3,5,D_20_mlDatabase,9,9,3,1,max,4,max,0.001,,2.302585092994046
3,COMPLETED,1,relu,0.001,16,0.99,0.999,7,3,2,0,10,4,D_20_mlDatabase,6,1,3,3,max,3,avg,0.001,,2.302585092994046
33,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,4,2,10,9,6,2,D_20_mlDatabase,10,5,3,2,max,5,avg,0.001,,2.302585092994046
33,COMPLETED,1,relu,0.001,16,0.99,0.999,4,2,10,9,6,2,D_20_mlDatabase,10,5,3,2,max,5,avg,0.001,,2.302585092994046
24,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,1,7,3,0,4,9,D_20_mlDatabase,1,5,3,2,avg,10,avg,0.001,,0.653665734099979
24,COMPLETED,1,relu,0.001,16,0.99,0.999,1,7,3,0,4,9,D_20_mlDatabase,1,5,3,2,avg,10,avg,0.001,,0.653665734099979
13,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,1,5,2,3,5,D_20_mlDatabase,8,1,3,2,avg,5,avg,0.001,,1.4896060651624308
13,COMPLETED,1,relu,0.001,16,0.99,0.999,10,1,5,2,3,5,D_20_mlDatabase,8,1,3,2,avg,5,avg,0.001,,1.4896060651624308
22,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,3,3,3,9,6,6,D_20_mlDatabase,3,4,3,2,max,1,max,0.001,,0.6991244251909812
22,COMPLETED,1,relu,0.001,16,0.99,0.999,3,3,3,9,6,6,D_20_mlDatabase,3,4,3,2,max,1,max,0.001,,0.6991244251909812
4,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,1,9,5,10,4,5,D_20_mlDatabase,7,1,3,9,avg,7,avg,0.001,,2.302585092994046
4,COMPLETED,1,relu,0.001,16,0.99,0.999,1,9,5,10,4,5,D_20_mlDatabase,7,1,3,9,avg,7,avg,0.001,,2.302585092994046
10,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,1,10,6,10,5,4,D_20_mlDatabase,8,2,3,3,avg,10,avg,0.001,,0.5115118760998645
