Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
12,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,8,4,3,10,1,D_20_mlDatabase,1,1,1,5,avg,1,max,0.001,42,0.35629280496834015
16,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,8,4,4,10,1,D_20_mlDatabase,1,1,1,5,avg,1,max,0.001,42,0.3052720921184285
16,COMPLETED,1,swish,0.001,16,0.99,0.999,9,8,4,4,10,1,D_20_mlDatabase,1,1,1,5,avg,1,max,0.001,42,0.3052720921184285
12,COMPLETED,1,swish,0.001,16,0.99,0.999,8,8,4,3,10,1,D_20_mlDatabase,1,1,1,5,avg,1,max,0.001,42,0.35629280496834015
18,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,8,4,3,10,1,D_20_mlDatabase,1,2,1,5,avg,1,max,0.001,42,0.3186906388539668
18,COMPLETED,1,swish,0.001,16,0.99,0.999,9,8,4,3,10,1,D_20_mlDatabase,1,2,1,5,avg,1,max,0.001,42,0.3186906388539668
11,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,8,4,3,10,2,D_20_mlDatabase,1,1,1,5,avg,1,max,0.001,42,0.5629286479867801
6,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,9,8,4,3,10,1,D_20_mlDatabase,1,1,1,5,avg,1,max,0.001,42,2.302585092994046
6,COMPLETED,1,relu,0.001,16,0.99,0.999,9,8,4,3,10,1,D_20_mlDatabase,1,1,1,5,avg,1,max,0.001,42,2.302585092994046
29,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,8,4,5,10,1,D_20_mlDatabase,1,1,1,5,avg,1,max,0.001,42,2.302585092994046
21,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,8,3,4,10,1,D_20_mlDatabase,1,1,1,5,avg,1,max,0.001,42,2.302585092994046
22,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,8,4,4,10,1,D_20_mlDatabase,2,1,1,5,avg,1,max,0.001,42,2.302585092994046
10,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,8,4,3,10,1,D_20_mlDatabase,2,1,1,5,avg,1,max,0.001,42,0.4564349141789633
