Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
3,INTERMEDIATE,1,swish,0.001,16,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.29288107986970885
2,INTERMEDIATE,1,swish,0.001,16,0.99,0.9,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.36719173346189793
3,COMPLETED,1,swish,0.001,16,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.29288107986970885
2,COMPLETED,1,swish,0.001,16,0.99,0.9,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.36719173346189793
4,INTERMEDIATE,1,swish,0.001,16,0.99,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.21318925570686478
4,COMPLETED,1,swish,0.001,16,0.99,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.21318925570686478
11,INTERMEDIATE,1,swish,0.001,32,0.99,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.21956766277893716
11,COMPLETED,1,swish,0.001,32,0.99,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.21956766277893716
7,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.0008,42,0.2964693088468176
7,COMPLETED,1,swish,0.001,16,0.99,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.0008,42,0.2964693088468176
15,INTERMEDIATE,1,swish,0.0012,16,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.28343223990289845
19,INTERMEDIATE,1,swish,0.001,16,0.9999,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.2489560268008817
13,INTERMEDIATE,1,swish,0.001,32,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.27447357055175137
19,COMPLETED,1,swish,0.001,16,0.9999,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.2489560268008817
15,COMPLETED,1,swish,0.0012,16,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.28343223990289845
17,INTERMEDIATE,1,swish,0.001,16,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.0008,42,0.25171006110760125
16,INTERMEDIATE,1,swish,0.0008,16,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.2992417586631588
17,COMPLETED,1,swish,0.001,16,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.0008,42,0.25171006110760125
16,COMPLETED,1,swish,0.0008,16,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.2992417586631588
13,COMPLETED,1,swish,0.001,32,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.27447357055175137
6,INTERMEDIATE,1,swish,0.0012,16,0.99,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.20431683253644806
6,COMPLETED,1,swish,0.0012,16,0.99,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.20431683253644806
12,INTERMEDIATE,1,swish,0.001,16,0.9999,0.9,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.22688740553241366
9,INTERMEDIATE,1,swish,0.001,16,0.9,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.22391475466973393
5,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.0012,42,0.2129139948463971
14,INTERMEDIATE,1,swish,0.001,16,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.0012,42,0.3125637949645883
14,COMPLETED,1,swish,0.001,16,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.0012,42,0.3125637949645883
12,COMPLETED,1,swish,0.001,16,0.9999,0.9,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.22688740553241366
9,COMPLETED,1,swish,0.001,16,0.9,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.22391475466973393
5,COMPLETED,1,swish,0.001,16,0.99,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.0012,42,0.2129139948463971
18,INTERMEDIATE,1,swish,0.001,8,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.30911531064072484
18,COMPLETED,1,swish,0.001,8,0.9999,0.999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.30911531064072484
22,INTERMEDIATE,1,swish,0.001,32,0.99,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.21599637121056278
22,COMPLETED,1,swish,0.001,32,0.99,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.21599637121056278
23,INTERMEDIATE,1,swish,0.0012,16,0.99,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.21872890001031953
26,INTERMEDIATE,1,swish,0.001,16,0.9,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.2345972872535735
26,COMPLETED,1,swish,0.001,16,0.9,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.2345972872535735
23,COMPLETED,1,swish,0.0012,16,0.99,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.001,42,0.21872890001031953
24,INTERMEDIATE,1,swish,0.001,16,0.99,0.99999,9,4,3,4,10,6,D_20_mlDatabase,4,1,1,7,avg,10,avg,0.0008,42,0.20961907226552942
