Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
3,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,1,1,1,0,7,6,D_mlDatabase,10,1,3,4,max,9,max,0.001,,2.302585092994046
9,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,4,7,2,9,9,1,D_mlDatabase,8,8,3,1,avg,1,avg,0.001,,2.302585092994046
20,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,6,5,9,9,9,D_mlDatabase,3,4,3,3,avg,1,max,0.001,,2.302585092994046
20,COMPLETED,1,relu,0.001,16,0.99,0.999,10,6,5,9,9,9,D_mlDatabase,3,4,3,3,avg,1,max,0.001,,2.302585092994046
9,COMPLETED,1,swish,0.001,16,0.99,0.999,4,7,2,9,9,1,D_mlDatabase,8,8,3,1,avg,1,avg,0.001,,2.302585092994046
3,COMPLETED,1,swish,0.001,16,0.99,0.999,1,1,1,0,7,6,D_mlDatabase,10,1,3,4,max,9,max,0.001,,2.302585092994046
33,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,6,10,1,6,5,1,D_mlDatabase,10,0,3,4,max,7,avg,0.001,,2.302585092994046
33,COMPLETED,1,swish,0.001,16,0.99,0.999,6,10,1,6,5,1,D_mlDatabase,10,0,3,4,max,7,avg,0.001,,2.302585092994046
1,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,1,7,5,4,3,8,D_mlDatabase,1,9,3,1,max,10,avg,0.001,,2.302585092994046
1,COMPLETED,1,relu,0.001,16,0.99,0.999,1,7,5,4,3,8,D_mlDatabase,1,9,3,1,max,10,avg,0.001,,2.302585092994046
32,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,6,3,8,2,1,6,D_mlDatabase,10,1,3,8,max,4,max,0.001,,2.302585092994046
32,COMPLETED,1,swish,0.001,16,0.99,0.999,6,3,8,2,1,6,D_mlDatabase,10,1,3,8,max,4,max,0.001,,2.302585092994046
10,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,6,9,5,0,9,9,D_mlDatabase,2,7,3,8,max,8,max,0.001,,0.6604221302696501
10,COMPLETED,1,swish,0.001,16,0.99,0.999,6,9,5,0,9,9,D_mlDatabase,2,7,3,8,max,8,max,0.001,,0.6604221302696501
14,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,2,4,10,1,3,8,D_mlDatabase,4,4,3,6,max,2,avg,0.001,,1.130661070082529
17,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,2,10,5,0,8,2,D_mlDatabase,8,5,3,6,max,6,max,0.001,,0.6178937835101586
17,COMPLETED,1,swish,0.001,16,0.99,0.999,2,10,5,0,8,2,D_mlDatabase,8,5,3,6,max,6,max,0.001,,0.6178937835101586
14,COMPLETED,1,relu,0.001,16,0.99,0.999,2,4,10,1,3,8,D_mlDatabase,4,4,3,6,max,2,avg,0.001,,1.130661070082529
8,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,10,5,7,4,1,D_mlDatabase,2,10,3,4,max,3,max,0.001,,0.4111713611863501
8,COMPLETED,1,relu,0.001,16,0.99,0.999,7,10,5,7,4,1,D_mlDatabase,2,10,3,4,max,3,max,0.001,,0.4111713611863501
22,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,6,1,6,2,8,9,D_mlDatabase,8,0,3,2,max,4,avg,0.001,,0.7767345884553642
22,COMPLETED,1,relu,0.001,16,0.99,0.999,6,1,6,2,8,9,D_mlDatabase,8,0,3,2,max,4,avg,0.001,,0.7767345884553642
23,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,6,6,7,3,4,D_mlDatabase,8,2,3,10,max,3,avg,0.001,,0.7157615033181354
27,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,2,3,8,2,4,D_mlDatabase,9,3,3,3,avg,4,max,0.001,,0.5561809379105395
27,COMPLETED,1,relu,0.001,16,0.99,0.999,10,2,3,8,2,4,D_mlDatabase,9,3,3,3,avg,4,max,0.001,,0.5561809379105395
23,COMPLETED,1,swish,0.001,16,0.99,0.999,8,6,6,7,3,4,D_mlDatabase,8,2,3,10,max,3,avg,0.001,,0.7157615033181354
43,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,3,7,2,8,4,2,D_mlDatabase,10,5,3,7,max,4,max,0.001,,2.302585092994046
30,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,10,6,7,9,6,D_mlDatabase,5,9,3,5,max,8,avg,0.001,,0.46048819447256717
34,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,9,10,10,0,8,10,D_mlDatabase,3,0,3,3,avg,5,avg,0.001,,0.3139632463939238
43,COMPLETED,1,relu,0.001,16,0.99,0.999,3,7,2,8,4,2,D_mlDatabase,10,5,3,7,max,4,max,0.001,,2.302585092994046
34,COMPLETED,1,relu,0.001,16,0.99,0.999,9,10,10,0,8,10,D_mlDatabase,3,0,3,3,avg,5,avg,0.001,,0.3139632463939238
30,COMPLETED,1,swish,0.001,16,0.99,0.999,10,10,6,7,9,6,D_mlDatabase,5,9,3,5,max,8,avg,0.001,,0.46048819447256717
6,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,8,10,10,2,2,D_mlDatabase,2,9,3,6,avg,10,max,0.001,,0.47877794651571104
6,COMPLETED,1,relu,0.001,16,0.99,0.999,7,8,10,10,2,2,D_mlDatabase,2,9,3,6,avg,10,max,0.001,,0.47877794651571104
21,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,6,5,9,5,6,D_mlDatabase,1,8,3,4,avg,6,avg,0.001,,1.4555748338633647
16,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,1,4,3,10,7,5,D_mlDatabase,3,4,3,9,avg,4,max,0.001,,0.4777480450844674
21,COMPLETED,1,relu,0.001,16,0.99,0.999,10,6,5,9,5,6,D_mlDatabase,1,8,3,4,avg,6,avg,0.001,,1.4555748338633647
16,COMPLETED,1,swish,0.001,16,0.99,0.999,1,4,3,10,7,5,D_mlDatabase,3,4,3,9,avg,4,max,0.001,,0.4777480450844674
19,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,6,8,6,3,4,3,D_mlDatabase,5,0,3,10,avg,10,avg,0.001,,0.45283406337062515
19,COMPLETED,1,relu,0.001,16,0.99,0.999,6,8,6,3,4,3,D_mlDatabase,5,0,3,10,avg,10,avg,0.001,,0.45283406337062515
15,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,3,8,7,2,1,6,D_mlDatabase,2,0,3,9,avg,9,max,0.001,,2.302585092994046
15,COMPLETED,1,relu,0.001,16,0.99,0.999,3,8,7,2,1,6,D_mlDatabase,2,0,3,9,avg,9,max,0.001,,2.302585092994046
31,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,5,3,5,9,10,4,D_mlDatabase,7,3,3,9,avg,8,avg,0.001,,0.7856279177867005
12,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,2,9,6,2,3,2,D_mlDatabase,9,9,3,7,avg,6,avg,0.001,,0.511314703876906
31,COMPLETED,1,swish,0.001,16,0.99,0.999,5,3,5,9,10,4,D_mlDatabase,7,3,3,9,avg,8,avg,0.001,,0.7856279177867005
12,COMPLETED,1,swish,0.001,16,0.99,0.999,2,9,6,2,3,2,D_mlDatabase,9,9,3,7,avg,6,avg,0.001,,0.511314703876906
26,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,2,9,3,0,3,4,D_mlDatabase,2,5,3,1,max,8,max,0.001,,0.5452612813623412
11,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,1,3,5,0,3,2,D_mlDatabase,5,1,3,9,avg,7,max,0.001,,0.5557986315317678
5,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,9,1,2,7,7,9,D_mlDatabase,2,1,3,6,max,6,max,0.001,,0.7090530581510645
4,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,4,4,6,7,4,6,D_mlDatabase,5,2,3,5,avg,6,max,0.001,,0.6644487259401055
28,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,8,4,4,8,9,D_mlDatabase,10,6,3,5,avg,10,max,0.001,,0.3153759829535462
41,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,5,8,4,10,9,D_mlDatabase,7,7,3,7,max,3,avg,0.001,,0.6486572756104607
40,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,2,7,5,5,9,D_mlDatabase,3,2,3,1,max,1,max,0.001,,0.6728000504779437
37,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,2,7,9,2,4,5,D_mlDatabase,7,3,3,3,max,3,avg,0.001,,0.7783421503753591
24,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,2,4,4,10,1,9,D_mlDatabase,4,7,3,3,max,6,avg,0.001,,2.279046247291485
25,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,6,2,5,7,4,D_mlDatabase,1,9,3,10,avg,5,avg,0.001,,0.6040301325436195
49,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,4,5,8,3,6,9,D_mlDatabase,7,8,3,7,max,2,avg,0.001,,0.4981624560112068
13,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,1,1,10,3,8,2,D_mlDatabase,7,7,3,4,avg,4,avg,0.001,,1.4596576950162974
44,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,6,1,8,3,10,10,D_mlDatabase,2,10,3,1,avg,3,avg,0.001,,0.8328458302688007
42,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,8,5,1,7,9,D_mlDatabase,5,7,3,1,avg,10,avg,0.001,,0.5866025138577056
39,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,1,5,5,3,5,2,D_mlDatabase,7,1,3,6,avg,2,avg,0.001,,0.6699386515684448
18,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,8,8,6,4,5,D_mlDatabase,3,0,3,3,max,5,max,0.001,,0.4369928407199867
2,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,2,2,2,8,1,2,D_mlDatabase,3,0,3,8,avg,6,avg,0.001,,0.5467659504767309
