Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
19,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,4,D_mlDatabase,5,9,1,5,avg,2,avg,0.001,42,0.4832933260897674
13,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,5,D_mlDatabase,5,10,1,5,avg,2,avg,0.001,42,0.43747913472365985
2,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,9,4,4,5,4,D_mlDatabase,5,10,1,5,avg,2,avg,0.001,42,0.4590516994851253
19,COMPLETED,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,4,D_mlDatabase,5,9,1,5,avg,2,avg,0.001,42,0.4832933260897674
13,COMPLETED,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,5,D_mlDatabase,5,10,1,5,avg,2,avg,0.001,42,0.43747913472365985
2,COMPLETED,1,swish,0.0008,32,0.99,0.999,10,9,4,4,5,4,D_mlDatabase,5,10,1,5,avg,2,avg,0.001,42,0.4590516994851253
9,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,9,4,5,6,4,D_mlDatabase,5,10,1,5,avg,2,avg,0.001,42,0.46392068797317443
9,COMPLETED,1,swish,0.0008,32,0.99,0.999,10,9,4,5,6,4,D_mlDatabase,5,10,1,5,avg,2,avg,0.001,42,0.46392068797317443
11,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,4,D_mlDatabase,5,10,1,5,avg,1,avg,0.001,42,0.3269295777321481
10,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,4,D_mlDatabase,5,10,1,5,max,2,avg,0.001,42,0.4070115751677533
20,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,4,D_mlDatabase,5,10,1,4,avg,2,avg,0.001,42,0.47162287008246967
20,COMPLETED,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,4,D_mlDatabase,5,10,1,4,avg,2,avg,0.001,42,0.47162287008246967
11,COMPLETED,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,4,D_mlDatabase,5,10,1,5,avg,1,avg,0.001,42,0.3269295777321481
10,COMPLETED,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,4,D_mlDatabase,5,10,1,5,max,2,avg,0.001,42,0.4070115751677533
18,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,9,5,4,6,4,D_mlDatabase,5,10,1,5,avg,2,avg,0.001,42,0.44986474542069166
18,COMPLETED,1,swish,0.0008,32,0.99,0.999,10,9,5,4,6,4,D_mlDatabase,5,10,1,5,avg,2,avg,0.001,42,0.44986474542069166
5,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,4,D_mlDatabase,4,10,1,5,avg,2,avg,0.001,42,0.3601971741440218
5,COMPLETED,1,swish,0.0008,32,0.99,0.999,10,9,4,4,6,4,D_mlDatabase,4,10,1,5,avg,2,avg,0.001,42,0.3601971741440218
14,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,9,4,3,6,4,D_mlDatabase,5,10,1,5,avg,2,avg,0.001,42,0.42546670000045284
