Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
7,INTERMEDIATE,1,swish,0.0012,32,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.44866330758892914
7,COMPLETED,1,swish,0.0012,32,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.44866330758892914
1,INTERMEDIATE,1,swish,0.0012,16,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.19803784123529297
1,COMPLETED,1,swish,0.0012,16,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.19803784123529297
9,INTERMEDIATE,1,swish,0.0012,16,0.99,0.9,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.5945888069250423
8,INTERMEDIATE,1,swish,0.0012,16,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.0008,42,0.24486242196127708
9,COMPLETED,1,swish,0.0012,16,0.99,0.9,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.5945888069250423
8,COMPLETED,1,swish,0.0012,16,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.0008,42,0.24486242196127708
6,INTERMEDIATE,1,swish,0.0012,16,0.99,0.99999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.2702549841577059
10,INTERMEDIATE,1,swish,0.0014399999999999999,16,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.21732887427848646
10,COMPLETED,1,swish,0.0014399999999999999,16,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.21732887427848646
6,COMPLETED,1,swish,0.0012,16,0.99,0.99999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.2702549841577059
4,INTERMEDIATE,1,swish,0.0012,16,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.0012,42,0.2106917552281236
3,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.208972512789244
11,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.22221616242876896
4,COMPLETED,1,swish,0.0012,16,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.0012,42,0.2106917552281236
3,COMPLETED,1,swish,0.0012,16,0.9,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.208972512789244
11,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.22221616242876896
5,INTERMEDIATE,1,swish,0.0012,8,0.99,0.999,6,5,2,8,8,5,D_mlDatabase,3,6,1,5,max,7,avg,0.001,42,0.29611029384794596
