Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
12,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,1,7,7,10,2,MM_mlDatabase,9,7,3,2,avg,1,max,0.001,,2.302585092994046
10,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,2,6,1,0,3,9,MM_mlDatabase,10,2,3,6,avg,4,max,0.001,,2.302585092994046
12,COMPLETED,1,relu,0.001,16,0.99,0.999,8,1,7,7,10,2,MM_mlDatabase,9,7,3,2,avg,1,max,0.001,,2.302585092994046
10,COMPLETED,1,relu,0.001,16,0.99,0.999,2,6,1,0,3,9,MM_mlDatabase,10,2,3,6,avg,4,max,0.001,,2.302585092994046
32,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,7,4,0,8,9,MM_mlDatabase,10,7,3,3,max,4,avg,0.001,,2.302585092994046
32,COMPLETED,1,relu,0.001,16,0.99,0.999,10,7,4,0,8,9,MM_mlDatabase,10,7,3,3,max,4,avg,0.001,,2.302585092994046
27,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,5,6,8,9,1,10,MM_mlDatabase,9,3,3,10,avg,10,avg,0.001,,2.302585092994046
16,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,2,8,10,8,1,5,MM_mlDatabase,8,2,3,7,avg,1,avg,0.001,,2.302585092994046
27,COMPLETED,1,swish,0.001,16,0.99,0.999,5,6,8,9,1,10,MM_mlDatabase,9,3,3,10,avg,10,avg,0.001,,2.302585092994046
16,COMPLETED,1,relu,0.001,16,0.99,0.999,2,8,10,8,1,5,MM_mlDatabase,8,2,3,7,avg,1,avg,0.001,,2.302585092994046
29,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,9,7,5,2,6,MM_mlDatabase,4,5,3,3,avg,3,max,0.001,,2.302585092994046
30,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,4,6,8,0,9,6,MM_mlDatabase,9,1,3,2,avg,10,avg,0.001,,1.2879774827027881
30,COMPLETED,1,relu,0.001,16,0.99,0.999,4,6,8,0,9,6,MM_mlDatabase,9,1,3,2,avg,10,avg,0.001,,1.2879774827027881
29,COMPLETED,1,swish,0.001,16,0.99,0.999,10,9,7,5,2,6,MM_mlDatabase,4,5,3,3,avg,3,max,0.001,,2.302585092994046
1,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,1,8,7,4,7,MM_mlDatabase,7,0,3,7,max,2,avg,0.001,,0.65112755658128
1,COMPLETED,1,swish,0.001,16,0.99,0.999,8,1,8,7,4,7,MM_mlDatabase,7,0,3,7,max,2,avg,0.001,,0.65112755658128
17,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,6,7,3,7,2,MM_mlDatabase,3,1,3,7,avg,7,avg,0.001,,1.2296988218439986
20,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,6,2,9,4,9,5,MM_mlDatabase,8,4,3,3,max,5,max,0.001,,0.3376184609846374
20,COMPLETED,1,swish,0.001,16,0.99,0.999,6,2,9,4,9,5,MM_mlDatabase,8,4,3,3,max,5,max,0.001,,0.3376184609846374
17,COMPLETED,1,relu,0.001,16,0.99,0.999,8,6,7,3,7,2,MM_mlDatabase,3,1,3,7,avg,7,avg,0.001,,1.2296988218439986
31,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,8,8,6,6,3,MM_mlDatabase,2,8,3,3,max,8,avg,0.001,,0.15566338893273501
31,COMPLETED,1,relu,0.001,16,0.99,0.999,7,8,8,6,6,3,MM_mlDatabase,2,8,3,3,max,8,avg,0.001,,0.15566338893273501
7,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,1,3,0,10,2,MM_mlDatabase,3,3,3,2,avg,5,avg,0.001,,0.15507672392529967
7,COMPLETED,1,swish,0.001,16,0.99,0.999,10,1,3,0,10,2,MM_mlDatabase,3,3,3,2,avg,5,avg,0.001,,0.15507672392529967
3,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,3,1,4,9,3,MM_mlDatabase,3,1,3,5,max,8,avg,0.001,,0.12339216687296531
3,COMPLETED,1,relu,0.001,16,0.99,0.999,8,3,1,4,9,3,MM_mlDatabase,3,1,3,5,max,8,avg,0.001,,0.12339216687296531
2,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,7,5,3,9,9,MM_mlDatabase,8,5,3,8,avg,2,max,0.001,,0.14761941498020933
2,COMPLETED,1,swish,0.001,16,0.99,0.999,10,7,5,3,9,9,MM_mlDatabase,8,5,3,8,avg,2,max,0.001,,0.14761941498020933
4,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,10,4,0,10,6,MM_mlDatabase,4,0,3,5,max,8,avg,0.001,,0.08743181913964829
4,COMPLETED,1,swish,0.001,16,0.99,0.999,10,10,4,0,10,6,MM_mlDatabase,4,0,3,5,max,8,avg,0.001,,0.08743181913964829
15,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,9,9,10,9,3,9,MM_mlDatabase,2,0,3,3,max,1,max,0.001,,0.26684752784154
5,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,6,4,8,2,1,MM_mlDatabase,2,6,3,1,avg,8,max,0.001,,0.07486394504751348
21,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,4,10,8,3,4,MM_mlDatabase,1,7,3,10,avg,2,avg,0.001,,1.1343028252741472
15,COMPLETED,1,relu,0.001,16,0.99,0.999,9,9,10,9,3,9,MM_mlDatabase,2,0,3,3,max,1,max,0.001,,0.26684752784154
5,COMPLETED,1,swish,0.001,16,0.99,0.999,7,6,4,8,2,1,MM_mlDatabase,2,6,3,1,avg,8,max,0.001,,0.07486394504751348
21,COMPLETED,1,swish,0.001,16,0.99,0.999,7,4,10,8,3,4,MM_mlDatabase,1,7,3,10,avg,2,avg,0.001,,1.1343028252741472
26,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,5,4,2,2,3,9,MM_mlDatabase,5,7,3,1,avg,8,max,0.001,,0.29999557474938876
26,COMPLETED,1,relu,0.001,16,0.99,0.999,5,4,2,2,3,9,MM_mlDatabase,5,7,3,1,avg,8,max,0.001,,0.29999557474938876
13,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,1,1,7,8,9,6,MM_mlDatabase,4,5,3,7,avg,6,avg,0.001,,0.45485856441453965
13,COMPLETED,1,swish,0.001,16,0.99,0.999,1,1,7,8,9,6,MM_mlDatabase,4,5,3,7,avg,6,avg,0.001,,0.45485856441453965
28,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,10,7,5,9,2,MM_mlDatabase,5,0,3,6,avg,5,max,0.001,,0.09281978217749101
28,COMPLETED,1,swish,0.001,16,0.99,0.999,9,10,7,5,9,2,MM_mlDatabase,5,0,3,6,avg,5,max,0.001,,0.09281978217749101
9,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,2,4,7,3,2,MM_mlDatabase,9,5,3,10,avg,4,avg,0.001,,0.2511463951418469
