Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
12,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.11682951177985734
12,COMPLETED,1,relu,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.11682951177985734
16,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,4,2,9,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.07668363583408704
16,COMPLETED,1,swish,0.001,16,0.99,0.999,7,8,4,2,9,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.07668363583408704
14,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,2,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.1382979314982675
10,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,2,max,8,avg,0.001,42,0.10381227947820224
4,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,1,1,2,avg,8,avg,0.001,42,0.12508141416344598
14,COMPLETED,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,2,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.1382979314982675
10,COMPLETED,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,2,max,8,avg,0.001,42,0.10381227947820224
4,COMPLETED,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,1,1,2,avg,8,avg,0.001,42,0.12508141416344598
22,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,9,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.13791286195314562
22,COMPLETED,1,swish,0.001,16,0.99,0.999,7,9,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.13791286195314562
19,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,4,0,1,2,avg,8,avg,0.001,42,0.09954289335320754
19,COMPLETED,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,4,0,1,2,avg,8,avg,0.001,42,0.09954289335320754
9,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,3,2,8,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.12167951696025495
9,COMPLETED,1,swish,0.001,16,0.99,0.999,7,8,3,2,8,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.12167951696025495
5,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,8,max,0.001,42,0.07152078862160267
5,COMPLETED,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,8,max,0.001,42,0.07152078862160267
18,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,1,avg,8,avg,0.001,42,0.13325470381023508
18,COMPLETED,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,1,avg,8,avg,0.001,42,0.13325470381023508
29,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,9,avg,0.001,42,0.11682951177985734
29,COMPLETED,1,relu,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,9,avg,0.001,42,0.11682951177985734
31,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,7,avg,0.001,42,0.11682951177985734
31,COMPLETED,1,relu,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,7,avg,0.001,42,0.11682951177985734
17,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,2,0,1,2,avg,8,avg,0.001,42,0.08420071939312503
35,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,1,avg,8,avg,0.001,42,0.3632504308837502
35,COMPLETED,1,relu,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,1,avg,8,avg,0.001,42,0.3632504308837502
17,COMPLETED,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,2,0,1,2,avg,8,avg,0.001,42,0.08420071939312503
23,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,8,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.12716558107146703
40,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,8,4,2,9,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.20183065562683072
7,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,3,avg,8,avg,0.001,42,0.08162083526865514
40,COMPLETED,1,relu,0.001,16,0.99,0.999,7,8,4,2,9,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.20183065562683072
23,COMPLETED,1,relu,0.001,16,0.99,0.999,8,8,4,2,8,1,MM_mlDatabase,3,0,1,2,avg,8,avg,0.001,42,0.12716558107146703
7,COMPLETED,1,swish,0.001,16,0.99,0.999,7,8,4,2,8,1,MM_mlDatabase,3,0,1,3,avg,8,avg,0.001,42,0.08162083526865514
44,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,8,4,2,9,1,MM_mlDatabase,2,0,1,2,avg,8,avg,0.001,42,0.17402961102473924
