Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
6,INTERMEDIATE,1,swish,0.001,32,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.06703503102338736
6,COMPLETED,1,swish,0.001,32,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.06703503102338736
11,INTERMEDIATE,1,swish,0.0008,16,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.07253245770932373
1,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.052101512491031864
11,COMPLETED,1,swish,0.0008,16,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.07253245770932373
1,COMPLETED,1,swish,0.001,16,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.052101512491031864
7,INTERMEDIATE,1,swish,0.001,16,0.9999,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.09436148057651135
7,COMPLETED,1,swish,0.001,16,0.9999,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.09436148057651135
3,INTERMEDIATE,1,swish,0.001,16,0.99,0.99999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.07463718808977277
4,INTERMEDIATE,1,swish,0.001,16,0.99,0.9,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.14892605065681364
4,COMPLETED,1,swish,0.001,16,0.99,0.9,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.14892605065681364
3,COMPLETED,1,swish,0.001,16,0.99,0.99999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.07463718808977277
10,INTERMEDIATE,1,swish,0.0012,16,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.0571213823651336
10,COMPLETED,1,swish,0.0012,16,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.0571213823651336
9,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0009599999999999999,42,0.06842595142552985
9,COMPLETED,1,swish,0.001,16,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0009599999999999999,42,0.06842595142552985
18,INTERMEDIATE,1,swish,0.001,64,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.08230951757701933
18,COMPLETED,1,swish,0.001,64,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.08230951757701933
8,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0014399999999999999,42,0.0609962232938692
8,COMPLETED,1,swish,0.001,16,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0014399999999999999,42,0.0609962232938692
16,INTERMEDIATE,1,swish,0.0012,32,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.0725650271188596
15,INTERMEDIATE,1,swish,0.001,32,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0009599999999999999,42,0.0692301450559954
16,COMPLETED,1,swish,0.0012,32,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.0725650271188596
15,COMPLETED,1,swish,0.001,32,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0009599999999999999,42,0.0692301450559954
19,INTERMEDIATE,1,swish,0.001,32,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0014399999999999999,42,0.07554542985535363
19,COMPLETED,1,swish,0.001,32,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0014399999999999999,42,0.07554542985535363
17,INTERMEDIATE,1,swish,0.0008,32,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.08232120659960507
17,COMPLETED,1,swish,0.0008,32,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.08232120659960507
14,INTERMEDIATE,1,swish,0.001,32,0.99,0.99999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.07728706085756304
14,COMPLETED,1,swish,0.001,32,0.99,0.99999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.07728706085756304
20,INTERMEDIATE,1,swish,0.001,32,0.9,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.08358031639149888
20,COMPLETED,1,swish,0.001,32,0.9,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.08358031639149888
2,INTERMEDIATE,1,swish,0.001,16,0.9,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.06580651850684968
2,COMPLETED,1,swish,0.001,16,0.9,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.06580651850684968
12,INTERMEDIATE,1,swish,0.001,32,0.9999,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.09591469632332293
5,INTERMEDIATE,1,swish,0.001,8,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.0754663513150319
12,COMPLETED,1,swish,0.001,32,0.9999,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.09591469632332293
5,COMPLETED,1,swish,0.001,8,0.99,0.999,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.0754663513150319
13,INTERMEDIATE,1,swish,0.001,32,0.99,0.9,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.07346661586012489
13,COMPLETED,1,swish,0.001,32,0.99,0.9,10,10,1,5,9,4,MM_mlDatabase,5,3,1,5,max,10,avg,0.0012,42,0.07346661586012489
