Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
10,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,1.1025980703376355
10,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,1.1025980703376355
3,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,4,4,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.9158412211176215
3,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,4,4,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.9158412211176215
8,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,1,RI_20_mlDatabase,6,5,1,3,max,10,avg,0.001,42,0.6116180846755254
8,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,1,RI_20_mlDatabase,6,5,1,3,max,10,avg,0.001,42,0.6116180846755254
11,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,3,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.5822782929064745
11,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,3,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.5822782929064745
20,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,1,RI_20_mlDatabase,5,4,1,3,max,10,avg,0.001,42,0.6252409754326715
17,INTERMEDIATE,1,relu,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.8624420414350907
20,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,1,RI_20_mlDatabase,5,4,1,3,max,10,avg,0.001,42,0.6252409754326715
17,COMPLETED,1,relu,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.8624420414350907
16,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,6,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.5467037926096903
21,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,5,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.9538206505095416
21,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,5,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.9538206505095416
16,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,6,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.5467037926096903
12,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,2,4,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.6391087757598729
4,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,2,3,4,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,1.2141934805459036
12,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,2,4,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.6391087757598729
4,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,2,3,4,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,1.2141934805459036
27,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,3,avg,10,avg,0.001,42,1.1025980703376355
41,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,3,max,9,avg,0.001,42,1.1025980703376355
36,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,2,max,10,avg,0.001,42,1.1025980703376355
39,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,4,max,10,avg,0.001,42,1.1025980703376355
36,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,2,max,10,avg,0.001,42,1.1025980703376355
27,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,3,avg,10,avg,0.001,42,1.1025980703376355
40,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,3,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.6190846519214036
41,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,3,max,9,avg,0.001,42,1.1025980703376355
39,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,4,max,10,avg,0.001,42,1.1025980703376355
34,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,2,3,4,4,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.9403584932847138
40,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,3,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.6190846519214036
34,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,2,3,4,4,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.9403584932847138
35,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,3,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,1.067264566963773
35,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,3,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,1.067264566963773
5,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,max,0.001,42,0.989538733917333
13,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,4,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.6072685923745889
5,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,1,RI_20_mlDatabase,6,4,1,3,max,10,max,0.001,42,0.989538733917333
13,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,4,4,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.6072685923745889
29,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,3,4,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,1.0311069069211016
15,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,5,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.602987017301127
29,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,3,4,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,1.0311069069211016
25,INTERMEDIATE,1,relu,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,1.3590278810715681
19,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,3,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.7555946369886433
25,COMPLETED,1,relu,0.0009599999999999999,16,0.99,0.999,1,3,4,4,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,1.3590278810715681
19,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,3,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.7555946369886433
15,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.999,1,3,4,5,5,1,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.602987017301127
23,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.999,1,4,4,4,5,2,RI_20_mlDatabase,6,4,1,3,max,10,avg,0.001,42,0.9528450455949008
