Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
19,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,max,7,avg,0.00096,42,0.733153228080626
18,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,1,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.6284179629797632
14,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,5,1,9,avg,7,avg,0.00096,42,0.6874695703738372
19,COMPLETED,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,max,7,avg,0.00096,42,0.733153228080626
18,COMPLETED,1,swish,0.0012,16,0.9,0.999,1,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.6284179629797632
14,COMPLETED,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,5,1,9,avg,7,avg,0.00096,42,0.6874695703738372
4,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,7,max,0.00096,42,1.0550197943189474
4,COMPLETED,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,7,max,0.00096,42,1.0550197943189474
13,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,3,10,7,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.5657934368411367
13,COMPLETED,1,swish,0.0012,16,0.9,0.999,2,4,3,10,7,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.5657934368411367
22,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,8,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.5787662463364155
22,COMPLETED,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,8,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.5787662463364155
8,INTERMEDIATE,1,relu,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.6088961023035419
8,COMPLETED,1,relu,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.6088961023035419
23,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,6,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.3807287856689116
23,COMPLETED,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,6,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.3807287856689116
17,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,3,9,8,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.5098000488121449
17,COMPLETED,1,swish,0.0012,16,0.9,0.999,2,4,3,9,8,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.5098000488121449
7,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,3,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.5360281502557517
11,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,2,10,8,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.8201158875937636
11,COMPLETED,1,swish,0.0012,16,0.9,0.999,2,4,2,10,8,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.8201158875937636
7,COMPLETED,1,swish,0.0012,16,0.9,0.999,3,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,7,avg,0.00096,42,0.5360281502557517
21,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,8,6,1,9,avg,7,avg,0.00096,42,0.4461952837048127
36,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,1,4,3,10,8,7,RI_mlDatabase,7,6,1,10,avg,7,avg,0.00096,42,0.6284179629797632
