Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
8,INTERMEDIATE,1,swish,0.0012,16,0.9,0.9,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.00096,42,0.560953799310499
8,COMPLETED,1,swish,0.0012,16,0.9,0.9,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.00096,42,0.560953799310499
9,INTERMEDIATE,1,swish,0.0014399999999999999,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.00096,42,0.3653175422177156
9,COMPLETED,1,swish,0.0014399999999999999,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.00096,42,0.3653175422177156
14,INTERMEDIATE,1,swish,0.0012,32,0.9,0.9,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.00096,42,0.5807040902425822
14,COMPLETED,1,swish,0.0012,32,0.9,0.9,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.00096,42,0.5807040902425822
2,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.000768,42,0.342010774369506
4,INTERMEDIATE,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.001152,42,0.3526176605140988
4,COMPLETED,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.001152,42,0.3526176605140988
2,COMPLETED,1,swish,0.0012,16,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.000768,42,0.342010774369506
17,INTERMEDIATE,1,swish,0.0014399999999999999,16,0.9,0.9,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.00096,42,0.5693975334502867
11,INTERMEDIATE,1,swish,0.0012,16,0.9,0.9,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.000768,42,0.5740345968054154
17,COMPLETED,1,swish,0.0014399999999999999,16,0.9,0.9,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.00096,42,0.5693975334502867
6,INTERMEDIATE,1,swish,0.0012,32,0.9,0.999,2,4,3,10,8,7,RI_mlDatabase,7,6,1,9,avg,8,avg,0.00096,42,0.40269158810357875
