Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
14,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,6,3,8,7,8,9,S_25_mlDatabase,6,2,3,5,max,6,avg,0.001,,2.302585092994046
23,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,1,2,10,5,10,S_25_mlDatabase,2,10,3,3,avg,10,max,0.001,,2.302585092994046
29,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,5,6,4,10,6,7,S_25_mlDatabase,4,6,3,1,max,2,avg,0.001,,2.302585092994046
7,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,2,3,6,4,8,S_25_mlDatabase,6,5,3,9,max,10,avg,0.001,,2.302585092994046
13,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,2,1,3,0,6,3,S_25_mlDatabase,10,7,3,2,avg,1,max,0.001,,2.302585092994046
8,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,8,9,1,4,7,S_25_mlDatabase,5,7,3,9,avg,6,avg,0.001,,2.302585092994046
2,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,10,3,3,6,3,S_25_mlDatabase,5,5,3,6,avg,1,max,0.001,,2.302585092994046
3,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,3,5,1,3,10,10,S_25_mlDatabase,9,1,3,8,max,2,avg,0.001,,2.302585092994046
20,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,9,6,2,10,5,S_25_mlDatabase,7,3,3,4,max,6,avg,0.001,,2.302585092994046
6,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,5,10,4,9,9,3,S_25_mlDatabase,5,6,3,10,avg,1,max,0.001,,2.302585092994046
27,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,7,6,7,6,9,S_25_mlDatabase,2,2,3,4,max,2,avg,0.001,,2.302585092994046
21,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,5,8,9,3,5,S_25_mlDatabase,9,0,3,3,avg,3,avg,0.001,,2.302585092994046
11,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,5,8,2,10,2,1,S_25_mlDatabase,5,10,3,8,avg,5,avg,0.001,,2.302585092994046
16,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,4,1,0,1,9,S_25_mlDatabase,1,7,3,9,max,7,max,0.001,,2.302585092994046
9,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,3,4,6,5,9,S_25_mlDatabase,1,6,3,7,max,2,max,0.001,,2.302585092994046
24,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,7,2,7,7,10,S_25_mlDatabase,1,2,3,5,max,9,max,0.001,,2.302585092994046
29,COMPLETED,1,swish,0.001,16,0.99,0.999,5,6,4,10,6,7,S_25_mlDatabase,4,6,3,1,max,2,avg,0.001,,2.302585092994046
23,COMPLETED,1,relu,0.001,16,0.99,0.999,10,1,2,10,5,10,S_25_mlDatabase,2,10,3,3,avg,10,max,0.001,,2.302585092994046
14,COMPLETED,1,swish,0.001,16,0.99,0.999,6,3,8,7,8,9,S_25_mlDatabase,6,2,3,5,max,6,avg,0.001,,2.302585092994046
13,COMPLETED,1,swish,0.001,16,0.99,0.999,2,1,3,0,6,3,S_25_mlDatabase,10,7,3,2,avg,1,max,0.001,,2.302585092994046
8,COMPLETED,1,swish,0.001,16,0.99,0.999,8,8,9,1,4,7,S_25_mlDatabase,5,7,3,9,avg,6,avg,0.001,,2.302585092994046
7,COMPLETED,1,swish,0.001,16,0.99,0.999,10,2,3,6,4,8,S_25_mlDatabase,6,5,3,9,max,10,avg,0.001,,2.302585092994046
3,COMPLETED,1,swish,0.001,16,0.99,0.999,3,5,1,3,10,10,S_25_mlDatabase,9,1,3,8,max,2,avg,0.001,,2.302585092994046
2,COMPLETED,1,swish,0.001,16,0.99,0.999,10,10,3,3,6,3,S_25_mlDatabase,5,5,3,6,avg,1,max,0.001,,2.302585092994046
10,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,5,5,1,10,1,S_25_mlDatabase,7,9,3,1,max,9,avg,0.001,,2.302585092994046
1,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,1,4,8,1,5,S_25_mlDatabase,5,9,3,8,max,7,avg,0.001,,2.302585092994046
12,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,3,6,4,10,10,10,S_25_mlDatabase,4,9,3,7,avg,2,max,0.001,,2.302585092994046
30,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,7,7,10,0,3,3,S_25_mlDatabase,9,9,3,7,avg,7,max,0.001,,2.302585092994046
25,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,3,10,3,3,9,6,S_25_mlDatabase,5,5,3,6,max,2,avg,0.001,,2.302585092994046
15,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,5,6,9,2,3,8,S_25_mlDatabase,6,8,3,9,avg,10,avg,0.001,,2.302585092994046
5,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,9,9,4,2,6,7,S_25_mlDatabase,4,2,3,7,avg,4,max,0.001,,2.302585092994046
26,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,1,6,2,7,3,5,S_25_mlDatabase,4,7,3,5,avg,7,max,0.001,,2.302585092994046
17,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,8,7,1,10,5,S_25_mlDatabase,7,8,3,8,avg,2,max,0.001,,2.302585092994046
30,COMPLETED,1,swish,0.001,16,0.99,0.999,7,7,10,0,3,3,S_25_mlDatabase,9,9,3,7,avg,7,max,0.001,,2.302585092994046
27,COMPLETED,1,swish,0.001,16,0.99,0.999,9,7,6,7,6,9,S_25_mlDatabase,2,2,3,4,max,2,avg,0.001,,2.302585092994046
26,COMPLETED,1,relu,0.001,16,0.99,0.999,1,6,2,7,3,5,S_25_mlDatabase,4,7,3,5,avg,7,max,0.001,,2.302585092994046
25,COMPLETED,1,swish,0.001,16,0.99,0.999,3,10,3,3,9,6,S_25_mlDatabase,5,5,3,6,max,2,avg,0.001,,2.302585092994046
24,COMPLETED,1,relu,0.001,16,0.99,0.999,10,7,2,7,7,10,S_25_mlDatabase,1,2,3,5,max,9,max,0.001,,2.302585092994046
21,COMPLETED,1,relu,0.001,16,0.99,0.999,7,5,8,9,3,5,S_25_mlDatabase,9,0,3,3,avg,3,avg,0.001,,2.302585092994046
20,COMPLETED,1,relu,0.001,16,0.99,0.999,10,9,6,2,10,5,S_25_mlDatabase,7,3,3,4,max,6,avg,0.001,,2.302585092994046
17,COMPLETED,1,swish,0.001,16,0.99,0.999,9,8,7,1,10,5,S_25_mlDatabase,7,8,3,8,avg,2,max,0.001,,2.302585092994046
16,COMPLETED,1,swish,0.001,16,0.99,0.999,7,4,1,0,1,9,S_25_mlDatabase,1,7,3,9,max,7,max,0.001,,2.302585092994046
15,COMPLETED,1,relu,0.001,16,0.99,0.999,5,6,9,2,3,8,S_25_mlDatabase,6,8,3,9,avg,10,avg,0.001,,2.302585092994046
12,COMPLETED,1,swish,0.001,16,0.99,0.999,3,6,4,10,10,10,S_25_mlDatabase,4,9,3,7,avg,2,max,0.001,,2.302585092994046
11,COMPLETED,1,relu,0.001,16,0.99,0.999,5,8,2,10,2,1,S_25_mlDatabase,5,10,3,8,avg,5,avg,0.001,,2.302585092994046
10,COMPLETED,1,swish,0.001,16,0.99,0.999,10,5,5,1,10,1,S_25_mlDatabase,7,9,3,1,max,9,avg,0.001,,2.302585092994046
9,COMPLETED,1,relu,0.001,16,0.99,0.999,10,3,4,6,5,9,S_25_mlDatabase,1,6,3,7,max,2,max,0.001,,2.302585092994046
6,COMPLETED,1,relu,0.001,16,0.99,0.999,5,10,4,9,9,3,S_25_mlDatabase,5,6,3,10,avg,1,max,0.001,,2.302585092994046
5,COMPLETED,1,relu,0.001,16,0.99,0.999,9,9,4,2,6,7,S_25_mlDatabase,4,2,3,7,avg,4,max,0.001,,2.302585092994046
1,COMPLETED,1,swish,0.001,16,0.99,0.999,10,1,4,8,1,5,S_25_mlDatabase,5,9,3,8,max,7,avg,0.001,,2.302585092994046
33,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,7,8,8,1,1,S_25_mlDatabase,7,7,3,5,max,8,max,0.001,,2.302585092994046
34,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,9,5,1,3,4,1,S_25_mlDatabase,6,8,3,10,max,8,max,0.001,,2.302585092994046
32,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,5,6,6,10,3,4,S_25_mlDatabase,3,4,3,10,avg,7,avg,0.001,,2.302585092994046
38,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,8,5,5,1,9,S_25_mlDatabase,6,8,3,3,avg,6,avg,0.001,,2.302585092994046
31,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,3,6,5,7,3,9,S_25_mlDatabase,2,0,3,7,avg,7,avg,0.001,,2.302585092994046
22,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,6,2,4,3,6,1,S_25_mlDatabase,1,2,3,4,max,2,max,0.001,,1.6153849287462472
18,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,1,10,6,0,5,5,S_25_mlDatabase,4,7,3,9,avg,9,avg,0.001,,0.40528706716143564
38,COMPLETED,1,relu,0.001,16,0.99,0.999,10,8,5,5,1,9,S_25_mlDatabase,6,8,3,3,avg,6,avg,0.001,,2.302585092994046
34,COMPLETED,1,relu,0.001,16,0.99,0.999,9,5,1,3,4,1,S_25_mlDatabase,6,8,3,10,max,8,max,0.001,,2.302585092994046
33,COMPLETED,1,relu,0.001,16,0.99,0.999,10,7,8,8,1,1,S_25_mlDatabase,7,7,3,5,max,8,max,0.001,,2.302585092994046
32,COMPLETED,1,relu,0.001,16,0.99,0.999,5,6,6,10,3,4,S_25_mlDatabase,3,4,3,10,avg,7,avg,0.001,,2.302585092994046
31,COMPLETED,1,relu,0.001,16,0.99,0.999,3,6,5,7,3,9,S_25_mlDatabase,2,0,3,7,avg,7,avg,0.001,,2.302585092994046
22,COMPLETED,1,relu,0.001,16,0.99,0.999,6,2,4,3,6,1,S_25_mlDatabase,1,2,3,4,max,2,max,0.001,,1.6153849287462472
18,COMPLETED,1,relu,0.001,16,0.99,0.999,1,10,6,0,5,5,S_25_mlDatabase,4,7,3,9,avg,9,avg,0.001,,0.40528706716143564
39,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,4,8,0,3,1,S_25_mlDatabase,1,7,3,3,max,3,max,0.001,,2.302585092994046
41,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,6,7,7,0,6,5,S_25_mlDatabase,3,3,3,3,max,1,avg,0.001,,2.302585092994046
45,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,2,3,6,6,6,5,S_25_mlDatabase,7,10,3,8,max,9,max,0.001,,2.302585092994046
46,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,8,7,8,9,9,S_25_mlDatabase,3,5,3,5,avg,7,max,0.001,,2.302585092994046
52,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,5,10,3,6,3,5,S_25_mlDatabase,4,5,3,2,avg,7,max,0.001,,2.302585092994046
40,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,1,7,6,5,4,S_25_mlDatabase,10,9,3,9,avg,9,max,0.001,,2.302585092994046
43,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,8,7,1,1,6,S_25_mlDatabase,3,9,3,7,avg,2,max,0.001,,2.302585092994046
55,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,1,3,5,9,8,9,S_25_mlDatabase,2,6,3,4,max,1,max,0.001,,2.302585092994046
51,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,2,2,6,7,5,S_25_mlDatabase,10,1,3,5,max,9,avg,0.001,,2.302585092994046
53,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,9,10,4,9,6,9,S_25_mlDatabase,4,9,3,4,avg,6,max,0.001,,2.302585092994046
54,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,8,7,10,4,2,4,S_25_mlDatabase,7,6,3,8,max,7,max,0.001,,2.302585092994046
49,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,6,1,6,10,6,S_25_mlDatabase,10,7,3,3,avg,2,avg,0.001,,2.302585092994046
48,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,6,10,9,0,10,6,S_25_mlDatabase,6,8,3,3,avg,8,max,0.001,,2.302585092994046
28,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,2,4,8,0,6,1,S_25_mlDatabase,4,2,3,6,max,4,avg,0.001,,0.5152824883064656
36,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,3,2,5,2,8,7,S_25_mlDatabase,3,5,3,4,avg,8,avg,0.001,,0.42700635892581024
4,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,6,6,8,2,8,5,S_25_mlDatabase,7,0,3,7,max,4,avg,0.001,,0.7681687763817837
56,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,4,7,7,9,8,S_25_mlDatabase,7,2,3,4,avg,10,avg,0.001,,2.302585092994046
55,COMPLETED,1,swish,0.001,16,0.99,0.999,1,3,5,9,8,9,S_25_mlDatabase,2,6,3,4,max,1,max,0.001,,2.302585092994046
54,COMPLETED,1,relu,0.001,16,0.99,0.999,8,7,10,4,2,4,S_25_mlDatabase,7,6,3,8,max,7,max,0.001,,2.302585092994046
53,COMPLETED,1,swish,0.001,16,0.99,0.999,9,10,4,9,6,9,S_25_mlDatabase,4,9,3,4,avg,6,max,0.001,,2.302585092994046
52,COMPLETED,1,relu,0.001,16,0.99,0.999,5,10,3,6,3,5,S_25_mlDatabase,4,5,3,2,avg,7,max,0.001,,2.302585092994046
51,COMPLETED,1,relu,0.001,16,0.99,0.999,8,2,2,6,7,5,S_25_mlDatabase,10,1,3,5,max,9,avg,0.001,,2.302585092994046
49,COMPLETED,1,relu,0.001,16,0.99,0.999,7,6,1,6,10,6,S_25_mlDatabase,10,7,3,3,avg,2,avg,0.001,,2.302585092994046
48,COMPLETED,1,relu,0.001,16,0.99,0.999,6,10,9,0,10,6,S_25_mlDatabase,6,8,3,3,avg,8,max,0.001,,2.302585092994046
46,COMPLETED,1,swish,0.001,16,0.99,0.999,9,8,7,8,9,9,S_25_mlDatabase,3,5,3,5,avg,7,max,0.001,,2.302585092994046
45,COMPLETED,1,relu,0.001,16,0.99,0.999,2,3,6,6,6,5,S_25_mlDatabase,7,10,3,8,max,9,max,0.001,,2.302585092994046
43,COMPLETED,1,swish,0.001,16,0.99,0.999,10,8,7,1,1,6,S_25_mlDatabase,3,9,3,7,avg,2,max,0.001,,2.302585092994046
41,COMPLETED,1,relu,0.001,16,0.99,0.999,6,7,7,0,6,5,S_25_mlDatabase,3,3,3,3,max,1,avg,0.001,,2.302585092994046
40,COMPLETED,1,relu,0.001,16,0.99,0.999,7,1,7,6,5,4,S_25_mlDatabase,10,9,3,9,avg,9,max,0.001,,2.302585092994046
39,COMPLETED,1,swish,0.001,16,0.99,0.999,10,4,8,0,3,1,S_25_mlDatabase,1,7,3,3,max,3,max,0.001,,2.302585092994046
36,COMPLETED,1,relu,0.001,16,0.99,0.999,3,2,5,2,8,7,S_25_mlDatabase,3,5,3,4,avg,8,avg,0.001,,0.42700635892581024
28,COMPLETED,1,relu,0.001,16,0.99,0.999,2,4,8,0,6,1,S_25_mlDatabase,4,2,3,6,max,4,avg,0.001,,0.5152824883064656
4,COMPLETED,1,swish,0.001,16,0.99,0.999,6,6,8,2,8,5,S_25_mlDatabase,7,0,3,7,max,4,avg,0.001,,0.7681687763817837
60,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,5,6,5,9,7,S_25_mlDatabase,2,2,3,4,max,10,avg,0.001,,2.302585092994046
57,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,2,1,3,0,1,3,S_25_mlDatabase,6,5,3,4,avg,1,max,0.001,,2.302585092994046
61,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,1,3,7,3,9,S_25_mlDatabase,8,0,3,7,avg,7,avg,0.001,,2.302585092994046
