Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
2,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,6,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
8,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
4,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,3,10,1,5,max,3,avg,0.0012,42,2.302585092994046
5,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,5,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
8,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
5,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,5,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
2,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,6,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
13,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,2,avg,0.0012,42,2.302585092994046
4,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,3,10,1,5,max,3,avg,0.0012,42,2.302585092994046
14,INTERMEDIATE,1,relu,0.0008,16,0.99,0.99999,3,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
14,COMPLETED,1,relu,0.0008,16,0.99,0.99999,3,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
13,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,2,avg,0.0012,42,2.302585092994046
15,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,9,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
15,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,9,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
17,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,4,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
17,COMPLETED,1,swish,0.0008,16,0.99,0.99999,4,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
18,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,3,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
18,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,3,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
19,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,2,1,S_25_mlDatabase,2,9,1,5,max,3,avg,0.0012,42,2.302585092994046
19,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,2,1,S_25_mlDatabase,2,9,1,5,max,3,avg,0.0012,42,2.302585092994046
20,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,10,8,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
20,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,10,8,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
21,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,10,7,5,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
21,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,10,7,5,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
10,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,max,0.0012,42,0.32651791952517756
22,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,1,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
22,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,1,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
10,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,max,0.0012,42,0.32651791952517756
3,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,9,1,5,max,3,avg,0.0012,42,0.3786132344646056
23,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,3,10,1,5,max,3,max,0.0012,42,2.302585092994046
9,INTERMEDIATE,1,relu,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.5927620038445213
6,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,1,10,1,5,max,3,avg,0.0012,42,0.27606904640247043
23,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,3,10,1,5,max,3,max,0.0012,42,2.302585092994046
3,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,9,1,5,max,3,avg,0.0012,42,0.3786132344646056
9,COMPLETED,1,relu,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.5927620038445213
6,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,1,10,1,5,max,3,avg,0.0012,42,0.27606904640247043
1,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.1237844894651342
1,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.1237844894651342
7,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,8,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.2119493660670043
7,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,8,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.2119493660670043
16,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.20477505748321637
12,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,4,avg,0.0012,42,0.17712402843592537
16,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.20477505748321637
12,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,4,avg,0.0012,42,0.17712402843592537
24,INTERMEDIATE,1,relu,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,max,0.0012,42,0.6052820780072979
25,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,2,max,0.0012,42,0.32651791952517756
25,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,2,max,0.0012,42,0.32651791952517756
24,COMPLETED,1,relu,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,max,0.0012,42,0.6052820780072979
29,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,3,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.2098867452988122
29,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,3,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.2098867452988122
35,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,3,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
35,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,3,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,2.302585092994046
28,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,1,10,1,5,avg,3,avg,0.0012,42,0.197852416843018
26,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,9,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,max,0.0012,42,0.20325835800408115
31,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,1,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.2627438618262061
31,COMPLETED,1,swish,0.0008,16,0.99,0.99999,1,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.2627438618262061
28,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,1,10,1,5,avg,3,avg,0.0012,42,0.197852416843018
26,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,9,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,max,0.0012,42,0.20325835800408115
32,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,6,max,3,avg,0.0012,42,0.1237844894651342
32,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,6,max,3,avg,0.0012,42,0.1237844894651342
34,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,9,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.2455577828043863
27,INTERMEDIATE,1,relu,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,1,10,1,5,max,3,avg,0.0012,42,0.20134161411910248
33,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,4,max,3,avg,0.0012,42,0.1237844894651342
34,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,9,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.2455577828043863
33,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,4,max,3,avg,0.0012,42,0.1237844894651342
27,COMPLETED,1,relu,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,1,10,1,5,max,3,avg,0.0012,42,0.20134161411910248
30,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,4,avg,0.0012,42,0.1943997063942392
30,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,4,avg,0.0012,42,0.1943997063942392
37,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,2,avg,0.0012,42,0.1237844894651342
37,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,max,2,avg,0.0012,42,0.1237844894651342
38,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,avg,3,avg,0.0012,42,0.1648114859206057
38,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,1,S_25_mlDatabase,2,10,1,5,avg,3,avg,0.0012,42,0.1648114859206057
39,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,1,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.14754376363734995
39,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,1,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.14754376363734995
36,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.1450310328450477
36,COMPLETED,1,swish,0.0008,16,0.99,0.99999,2,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.1450310328450477
11,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,3,10,7,3,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.17759375994941973
11,COMPLETED,1,swish,0.0008,16,0.99,0.99999,3,10,7,3,2,1,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.17759375994941973
