Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
7,INTERMEDIATE,1,swish,0.0008,16,0.9999,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.23425583087326798
7,COMPLETED,1,swish,0.0008,16,0.9999,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.23425583087326798
6,INTERMEDIATE,1,swish,0.0008,16,0.9,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.11079384488803287
6,COMPLETED,1,swish,0.0008,16,0.9,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.11079384488803287
10,INTERMEDIATE,1,swish,0.00096,16,0.99,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.11182397224274541
9,INTERMEDIATE,1,swish,0.0008,16,0.99,0.9,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.1126348060308012
4,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0014399999999999999,42,0.11508495027199801
10,COMPLETED,1,swish,0.00096,16,0.99,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.11182397224274541
9,COMPLETED,1,swish,0.0008,16,0.99,0.9,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.1126348060308012
4,COMPLETED,1,swish,0.0008,16,0.99,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0014399999999999999,42,0.11508495027199801
2,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0009599999999999999,42,0.11198248426096491
1,INTERMEDIATE,1,swish,0.0008,16,0.99,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.11381132689451785
3,INTERMEDIATE,1,swish,0.0008,8,0.99,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.11052382927915831
3,COMPLETED,1,swish,0.0008,8,0.99,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.11052382927915831
2,COMPLETED,1,swish,0.0008,16,0.99,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0009599999999999999,42,0.11198248426096491
1,COMPLETED,1,swish,0.0008,16,0.99,0.99999,1,10,7,4,2,2,S_25_mlDatabase,2,10,1,5,max,3,avg,0.0012,42,0.11381132689451785
