Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
15,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,9,6,5,1,8,6,S_mlDatabase,9,5,3,4,max,10,avg,0.001,,2.302585092994046
1,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,9,7,6,9,7,5,S_mlDatabase,10,9,3,2,avg,4,max,0.001,,2.302585092994046
3,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,9,7,7,8,4,7,S_mlDatabase,9,9,3,9,max,4,max,0.001,,2.302585092994046
17,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,10,4,6,2,6,S_mlDatabase,10,7,3,1,max,3,max,0.001,,2.302585092994046
24,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,3,5,7,4,5,S_mlDatabase,10,6,3,5,max,9,avg,0.001,,2.302585092994046
27,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,9,2,8,2,10,S_mlDatabase,6,4,3,3,avg,3,max,0.001,,2.302585092994046
8,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,8,5,8,9,8,S_mlDatabase,3,6,3,4,avg,8,avg,0.001,,2.302585092994046
22,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,7,8,8,3,8,6,S_mlDatabase,4,8,3,1,avg,6,max,0.001,,2.302585092994046
19,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,4,5,10,9,9,6,S_mlDatabase,7,6,3,5,max,6,avg,0.001,,2.302585092994046
12,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,8,9,7,8,8,4,S_mlDatabase,6,8,3,10,max,7,avg,0.001,,2.302585092994046
29,INTERMEDIATE,1,relu,0.001,16,0.99,0.999,10,10,8,4,9,8,S_mlDatabase,9,3,3,4,avg,4,avg,0.001,,2.302585092994046
13,INTERMEDIATE,1,swish,0.001,16,0.99,0.999,10,5,9,8,6,3,S_mlDatabase,7,5,3,4,max,7,avg,0.001,,2.302585092994046
