Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
2,INTERMEDIATE,1,relu,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.17745103762002876
20,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,2,1,2,max,8,avg,0.0006144000000000001,42,0.1598432292136486
20,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,2,1,2,max,8,avg,0.0006144000000000001,42,0.1598432292136486
2,COMPLETED,1,relu,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.17745103762002876
6,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,6,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.18543866590847702
13,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,0,1,2,max,8,avg,0.0006144000000000001,42,0.18665986951502475
13,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,0,1,2,max,8,avg,0.0006144000000000001,42,0.18665986951502475
6,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,6,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.18543866590847702
3,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,2,1,1,2,max,8,avg,0.0006144000000000001,42,0.1890085726982486
4,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,4,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.1730918984592141
4,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,4,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.1730918984592141
3,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,2,1,1,2,max,8,avg,0.0006144000000000001,42,0.1890085726982486
33,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,2,1,1,max,8,avg,0.0006144000000000001,42,2.302585092994046
7,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,4,1,1,2,max,8,avg,0.0006144000000000001,42,0.23982025008905292
11,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,6,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.14433313850306365
5,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,7,avg,0.0006144000000000001,42,0.11310587539334829
33,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,2,1,1,max,8,avg,0.0006144000000000001,42,2.302585092994046
11,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,6,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.14433313850306365
7,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,4,1,1,2,max,8,avg,0.0006144000000000001,42,0.23982025008905292
5,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,7,avg,0.0006144000000000001,42,0.11310587539334829
15,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,3,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.11310587539334829
23,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,1,max,8,avg,0.0006144000000000001,42,0.19588809838928617
1,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.11310587539334829
19,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,7,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.11310587539334829
12,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,max,0.0006144000000000001,42,0.11310587539334829
16,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,1,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.11310587539334829
8,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,9,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.11310587539334829
23,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,1,max,8,avg,0.0006144000000000001,42,0.19588809838928617
19,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,7,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.11310587539334829
16,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,1,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.11310587539334829
15,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,3,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.11310587539334829
12,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,max,0.0006144000000000001,42,0.11310587539334829
8,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,9,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.11310587539334829
1,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.11310587539334829
18,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,9,avg,0.0006144000000000001,42,0.11310587539334829
21,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,8,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.15362608537630243
21,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,8,7,0,8,2,S_mlDatabase,3,1,1,2,max,8,avg,0.0006144000000000001,42,0.15362608537630243
18,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,1,1,2,max,9,avg,0.0006144000000000001,42,0.11310587539334829
31,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,8,7,0,8,2,S_mlDatabase,3,2,1,2,max,8,avg,0.0006144000000000001,42,0.18741588455113656
32,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,4,7,7,0,8,2,S_mlDatabase,3,2,1,2,max,8,avg,0.0006144000000000001,42,0.17782796913605223
35,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,6,7,7,0,8,2,S_mlDatabase,3,2,1,2,max,8,avg,0.0006144000000000001,42,0.1888685016285584
36,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,9,2,S_mlDatabase,3,2,1,2,max,8,avg,0.0006144000000000001,42,0.1598432292136486
29,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,1,S_mlDatabase,3,2,1,2,max,8,avg,0.0006144000000000001,42,0.1598432292136486
24,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,2,1,2,max,7,avg,0.0006144000000000001,42,0.1598432292136486
26,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,2,1,2,max,8,max,0.0006144000000000001,42,0.1598432292136486
41,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,7,2,S_mlDatabase,3,2,1,2,max,8,avg,0.0006144000000000001,42,0.1598432292136486
28,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,2,1,2,max,9,avg,0.0006144000000000001,42,0.1598432292136486
37,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,3,S_mlDatabase,3,2,1,2,max,8,avg,0.0006144000000000001,42,0.1598432292136486
25,INTERMEDIATE,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,8,2,S_mlDatabase,3,3,1,2,max,8,avg,0.0006144000000000001,42,0.33586191776140034
41,COMPLETED,1,swish,0.0017279999999999997,8,0.9,0.9,5,7,7,0,7,2,S_mlDatabase,3,2,1,2,max,8,avg,0.0006144000000000001,42,0.1598432292136486
