Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
9,INTERMEDIATE,1,swish,0.0012,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.15225851393325485
9,COMPLETED,1,swish,0.0012,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.15225851393325485
8,INTERMEDIATE,1,swish,0.001,16,0.9999,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.1959162735222942
8,COMPLETED,1,swish,0.001,16,0.9999,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.1959162735222942
2,INTERMEDIATE,1,swish,0.001,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00064,42,0.15391852925093216
5,INTERMEDIATE,1,swish,0.001,16,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.1570784044596199
10,INTERMEDIATE,1,swish,0.0008,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.15810044541539364
5,COMPLETED,1,swish,0.001,16,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.1570784044596199
2,COMPLETED,1,swish,0.001,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00064,42,0.15391852925093216
10,COMPLETED,1,swish,0.0008,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.15810044541539364
11,INTERMEDIATE,1,swish,0.0014399999999999999,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.17915856265390395
11,COMPLETED,1,swish,0.0014399999999999999,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.17915856265390395
12,INTERMEDIATE,1,swish,0.0012,32,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.22363963827228034
12,COMPLETED,1,swish,0.0012,32,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.22363963827228034
3,INTERMEDIATE,1,swish,0.001,16,0.99,0.99999,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.15984151990414405
3,COMPLETED,1,swish,0.001,16,0.99,0.99999,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.15984151990414405
7,INTERMEDIATE,1,swish,0.001,32,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.16284448093320264
4,INTERMEDIATE,1,swish,0.001,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.12472395254129741
7,COMPLETED,1,swish,0.001,32,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.16284448093320264
4,COMPLETED,1,swish,0.001,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.12472395254129741
1,INTERMEDIATE,1,swish,0.001,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.12326565434142352
18,INTERMEDIATE,1,swish,0.0012,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00064,42,0.156529890470044
1,COMPLETED,1,swish,0.001,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.12326565434142352
18,COMPLETED,1,swish,0.0012,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00064,42,0.156529890470044
14,INTERMEDIATE,1,swish,0.0012,16,0.9999,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.22153869818938587
14,COMPLETED,1,swish,0.0012,16,0.9999,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.22153869818938587
17,INTERMEDIATE,1,swish,0.0012,16,0.99,0.99999,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.15312923348354665
6,INTERMEDIATE,1,swish,0.001,8,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.1300393307223447
17,COMPLETED,1,swish,0.0012,16,0.99,0.99999,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.15312923348354665
6,COMPLETED,1,swish,0.001,8,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.1300393307223447
19,INTERMEDIATE,1,swish,0.0012,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.12505108284882438
19,COMPLETED,1,swish,0.0012,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.12505108284882438
13,INTERMEDIATE,1,swish,0.0012,16,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.1201471468232363
13,COMPLETED,1,swish,0.0012,16,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.1201471468232363
15,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.14952584791164675
15,COMPLETED,1,swish,0.0009599999999999999,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.14952584791164675
16,INTERMEDIATE,1,swish,0.0012,8,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.1248786470467506
16,COMPLETED,1,swish,0.0012,8,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.1248786470467506
25,INTERMEDIATE,1,swish,0.001,16,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.15967326662917317
25,COMPLETED,1,swish,0.001,16,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.15967326662917317
26,INTERMEDIATE,1,swish,0.001,16,0.9999,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.18302088391546747
20,INTERMEDIATE,1,swish,0.001,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.000768,42,0.14805912298670862
32,INTERMEDIATE,1,swish,0.0012,16,0.9,0.99999,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.19758397872686986
26,COMPLETED,1,swish,0.001,16,0.9999,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.18302088391546747
20,COMPLETED,1,swish,0.001,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.000768,42,0.14805912298670862
27,INTERMEDIATE,1,swish,0.001,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.001152,42,0.1337297732909604
33,INTERMEDIATE,1,swish,0.0012,32,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.20108424884215817
22,INTERMEDIATE,1,swish,0.001,16,0.99,0.99999,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.14430775848183625
33,COMPLETED,1,swish,0.0012,32,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.20108424884215817
32,COMPLETED,1,swish,0.0012,16,0.9,0.99999,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.19758397872686986
27,COMPLETED,1,swish,0.001,16,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.001152,42,0.1337297732909604
22,COMPLETED,1,swish,0.001,16,0.99,0.99999,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.14430775848183625
24,INTERMEDIATE,1,swish,0.001,32,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.14508697280192684
24,COMPLETED,1,swish,0.001,32,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.14508697280192684
21,INTERMEDIATE,1,swish,0.001,8,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.13058821899152234
29,INTERMEDIATE,1,swish,0.0009599999999999999,16,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.15205733557787934
30,INTERMEDIATE,1,swish,0.0012,16,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00064,42,0.12196741183496902
31,INTERMEDIATE,1,swish,0.0012,8,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.11551999657180499
30,COMPLETED,1,swish,0.0012,16,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00064,42,0.12196741183496902
29,COMPLETED,1,swish,0.0009599999999999999,16,0.9,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.0008,42,0.15205733557787934
21,COMPLETED,1,swish,0.001,8,0.99,0.9,5,7,7,0,8,4,S_mlDatabase,3,1,1,2,max,8,avg,0.00096,42,0.13058821899152234
