Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
18,INTERMEDIATE,1,swish,0.001,8,0.99,0.999,2,8,2,4,6,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.28166165688755246
5,INTERMEDIATE,1,swish,0.001,8,0.99,0.999,2,8,2,4,7,5,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.2884482906102591
18,COMPLETED,1,swish,0.001,8,0.99,0.999,2,8,2,4,6,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.28166165688755246
5,COMPLETED,1,swish,0.001,8,0.99,0.999,2,8,2,4,7,5,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.2884482906102591
12,INTERMEDIATE,1,swish,0.001,8,0.99,0.999,3,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.3204580574901765
20,INTERMEDIATE,1,swish,0.001,8,0.99,0.999,2,9,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.3660817301069025
14,INTERMEDIATE,1,swish,0.001,8,0.99,0.999,2,8,2,4,8,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.2159204095542122
20,COMPLETED,1,swish,0.001,8,0.99,0.999,2,9,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.3660817301069025
14,COMPLETED,1,swish,0.001,8,0.99,0.999,2,8,2,4,8,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.2159204095542122
12,COMPLETED,1,swish,0.001,8,0.99,0.999,3,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.3204580574901765
19,INTERMEDIATE,1,swish,0.001,8,0.99,0.999,2,8,2,4,7,4,VP_mlDatabase,5,0,1,5,max,10,avg,0.001,42,0.2936475829344629
19,COMPLETED,1,swish,0.001,8,0.99,0.999,2,8,2,4,7,4,VP_mlDatabase,5,0,1,5,max,10,avg,0.001,42,0.2936475829344629
22,INTERMEDIATE,1,swish,0.001,8,0.99,0.999,2,7,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.2362962237998565
13,INTERMEDIATE,1,relu,0.001,8,0.99,0.999,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.2143858490942339
10,INTERMEDIATE,1,swish,0.001,8,0.99,0.999,1,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.30809517615091064
22,COMPLETED,1,swish,0.001,8,0.99,0.999,2,7,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.2362962237998565
13,COMPLETED,1,relu,0.001,8,0.99,0.999,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.2143858490942339
