Trial-ID,Status,Iteration,actFunction,alpha,batchSize,beta_1,beta_2,conv1_Filters,conv1_kernelSize,conv1_strides,conv2_Filters,conv2_kernelSize,conv2_strides,database,dense1_Nodes,dense2_Nodes,nRepetitions,pool1_size,pool1_type,pool2_size,pool2_type,regL2,seed,Objective
7,INTERMEDIATE,1,swish,0.0008,8,0.9999,0.9,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.24770171531230145
7,COMPLETED,1,swish,0.0008,8,0.9999,0.9,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.24770171531230145
6,INTERMEDIATE,1,swish,0.0008,8,0.99,0.9,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.0012,42,0.17173462605126227
6,COMPLETED,1,swish,0.0008,8,0.99,0.9,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.0012,42,0.17173462605126227
3,INTERMEDIATE,1,swish,0.0008,8,0.9,0.9,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.19029572301278674
3,COMPLETED,1,swish,0.0008,8,0.9,0.9,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.19029572301278674
13,INTERMEDIATE,1,swish,0.00096,8,0.9999,0.9,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.26976395735124203
13,COMPLETED,1,swish,0.00096,8,0.9999,0.9,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.26976395735124203
11,INTERMEDIATE,1,swish,0.0008,8,0.9999,0.99999,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.27953311505799955
15,INTERMEDIATE,1,swish,0.0008,8,0.9999,0.9,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.0008,42,0.25206192820954154
11,COMPLETED,1,swish,0.0008,8,0.9999,0.99999,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.001,42,0.27953311505799955
15,COMPLETED,1,swish,0.0008,8,0.9999,0.9,2,8,2,4,7,4,VP_mlDatabase,4,0,1,5,max,10,avg,0.0008,42,0.25206192820954154
